Fecha,RUT,Cliente,Domicilio,Forma de pago,Comprobante,Moneda,Importe,Tasa IVA
10/25/2022,179567177703,Disco,18 de Julio 1234; Montevideo,contado,eFactura A 2345,UYU,500,TE
10/25/2022,179567177703,Disco,18 de Julio 1234; Montevideo,contado,eFactura A 2345,UYU,900,TM
10/25/2022,179567177703,Disco,18 de Julio 1234; Montevideo,contado,eFactura A 2345,UYU,489,TE
10/25/2022,179567177703,Disco,18 de Julio 1234; Montevideo,contado,eFactura A 2345,UYU,4381,TB
10/25/2022,179567177703,Disco,18 de Julio 1234; Montevideo,contado,eFactura A 2345,UYU,2131,TB
10/25/2022,120434177741,UCU,8 de Octubre 1111; Montevideo,contado,eFactura A 1234,USD,5000,TB
10/25/2022,120434177741,UCU,8 de Octubre 1111; Montevideo,contado,eFactura A 1234,USD,250,TB
10/25/2022,171196946698,Divino,Av 1234; Colonia,credito,eFactura A 789,USD,2000,TB
10/25/2022,171196946698,Divino,Av 1234; Colonia,credito,eFactura A 789,USD,240,TE
10/24/2022,179567177703,Disco,18 de Julio 1234; Montevideo,contado,eFactura A 2355,UYU,500,TE
10/24/2022,179567177703,Disco,18 de Julio 1234; Montevideo,contado,eFactura A 2355,UYU,900,TM
10/24/2022,179567177703,Disco,18 de Julio 1234; Montevideo,contado,eFactura A 2355,UYU,489,TE
10/23/2022,179567177703,Disco,18 de Julio 1234; Montevideo,contado,eFactura A 2342,UYU,4381,TB
10/23/2022,179567177703,Disco,18 de Julio 1234; Montevideo,contado,eFactura A 2342,UYU,2131,TB
10/22/2022,219567000003,Uber,Zona America of 38; Canelones,credito,eFactura A 3817,EUR,5000,TB
10/15/2022,171196946698,Divino,Av 1234; Colonia,nota_credito,eFactura nota de crédito A 500,USD,219,TB
10/15/2022,171196946698,Divino,Av 1234; Colonia,nota_credito,eFactura nota de crédito A 500,USD,400,TM
9/25/2022,179567177703,Disco,18 de Julio 1234; Montevideo,contado,eFactura 2346,UYU,500,TE
9/25/2022,179567177703,Disco,18 de Julio 1234; Montevideo,contado,eFactura 2346,UYU,900,TM
9/25/2022,179567177703,Disco,18 de Julio 1234; Montevideo,contado,eFactura 2346,UYU,489,TE
9/25/2022,179567177703,Disco,18 de Julio 1234; Montevideo,contado,eFactura 2346,UYU,4381,TB
9/25/2022,179567177703,Disco,18 de Julio 1234; Montevideo,contado,eFactura 2346,UYU,2131,TB
9/25/2022,120434177741,UCU,8 de Octubre 1111; Montevideo,contado,eFactura A 1239,USD,5000,TB
9/25/2022,120434177741,UCU,8 de Octubre 1111; Montevideo,contado,eFactura A 1239,USD,250,TB
9/15/2022,120434177741,UCU,8 de Octubre 1111; Montevideo,contado,eFactura A 89,USD,250,TB
9/15/2022,120434177741,UCU,8 de Octubre 1111; Montevideo,contado,eFactura A 89,USD,700,TB
8/25/2022,171196946698,Divino,Av 1234; Colonia,credito,eFactura A 777,USD,2000,TB
8/25/2022,171196946698,Divino,Av 1234; Colonia,credito,eFactura A 777,USD,240,TE
8/24/2022,179567177703,Disco,18 de Julio 1234; Montevideo,contado,eFactura A 2310,UYU,400,TE
8/24/2022,179567177703,Disco,18 de Julio 1234; Montevideo,contado,eFactura A 2310,UYU,800,TM
8/24/2022,179567177703,Disco,18 de Julio 1234; Montevideo,contado,eFactura A 2310,UYU,489,TE
8/23/2022,179567177703,Disco,18 de Julio 1234; Montevideo,contado,eFactura A 2311,UYU,4381,TB
8/23/2022,179567177703,Disco,18 de Julio 1234; Montevideo,contado,eFactura A 2311,UYU,2131,TB
8/22/2022,219567000003,Uber,Zona America of 38; Canelones,credito,eFactura A 3811,EUR,6000,TB
